org_id,assessment,org_name,org_address,org_address2,org_city,org_state,org_zip,boro_id,org_phone,org_fax,org_website,org_email,org_boundary,org_neighborhood,org_year,org_realestate,org_blocks,org_businesses
20,"$400,000.00",Steinway Street,"25-69 38th Street, 1C ",,Astoria,NY,11103,Queens,7187287820,7187287413,www.steinwaystreet.org,info@steinwaystreet.nyc,Steinway Street from 25th Avenue to 36th Avenue,Astoria,October 1991,"A shopping district minutes from Manhattan, Steinway street provides friendly neighborhood services and a worldly selection of merchandise.  Located in the vibrant community of Astoria, Steinway Street is easily accessible by public and private transportation.  In  addition to the great shopping on Steinway Street, the surrounding area has an array of restaurants, cafes and specialty foods from every corner of the world. The ideal place to 'make a day of it,' shopping, dining, museums, sightseeing,  Steinway Street provides it all.",10,275
39,"$900,000.00",47th Street,580 Fifth Avenue,Suite 323,New York,NY,10036,Manhattan,2123025739,2123027835,www.diamonddistrict.org,info@diamonddistrict.org,West 47th Street from 5th Avenue to Avenue of the Americas,Midtown,July 1997,"The Diamond District, located in the heart of midtown Manhattan, is the world's largest shopping district for diamonds and fine jewelry. Most of the diamonds entering this country go through the Diamond District and more than 2,600 independent businesses are located in the district.",,
18,"$224,450.00",82nd Street Partnership,37-06 82nd Street,Suite 309,Jackson Heights,NY,11372,Queens,7183359421,7185072977,www.82ndstreetbid.org,leslie@82ndstreet.org,82nd Street from 37th Avenue to Baxter Avenue,Jackson Heights,January 1990,The 82nd Street Business Improvement District (BID) has over 120 specialty and chain stores for your shopping convenience.   Jackson Heights is an ethnically and economically diverse community that is known for its historic appeal and landmark architecture.  All of your shopping needs can be met on 82nd Street.,8,125
51,"$240,000.00",161st Street,900 Grand Concourse,Ground Floor,Bronx,NY,10451,Bronx,7185905433,7185905433,www.161bid.org,carygood@aol.com,161st Street from River Avenue to Morris Avenue; River Avenue from East 158th Street to East 162nd Street; Grand Concourse from 161st to 162nd Streets; Sheridan Avenue from East 161st to 162nd Streets,Concourse Village,April 2005,"The 161st Street BID is located at a major crossroads of the world-famous, Yankee Stadium.",,
21,"$10,885,000.00",34th Street Partnership,1065 Avenue of the Americas,Suite 2400,New York,NY,10018,Manhattan,2127193434,2127193499,www.34thstreet.org,34th@urbanmgt.com,"Area generally bounded by 31st Street to the south, 36th Street to the north, 10th Avenue to the west and Park Avenue to the east",Midtown,January 1992,"The 34th Street Partnership district is located at the center of Manhattan, and, arguably, the heart of New York City.  Here you will find some of the world's best stores, most-famous attractions, office buildings, hotels and a growing residential population. Area attractions include  the Empire State Building, Madison Square Garden and  Macy's Herald Square which averages 30,000 visitors a day  - peaking to more than 65,000 visitors a day around the winter holidays - making it the third most-visited site in New York City after our own Empire State Building and the Statue of Liberty.'",108,539
19,"$290,000.00",Kings Highway,905 Kings Highway,2nd Floor,Brooklyn,NY,11223,Brooklyn,7186451100,7186450645,www.kingshighwaybid.org,Kingshwaybid@aol.com,Kings Highway from Ocean Parkway to Ocean Avenue; Quentin Road from Coney Island Avenue to East 13th Street,Midwood,January 1990,"For over 50 years, Kings Highway has prided itself in being one of the most dynamic retail strips in the borough of  Brooklyn.   There are over 200 merchants within the BID selling quality merchandise from Armani dresses to Rolex watches as well as kosher pizza and, arguably, the best bagels in New York City.",28,230
38,"$2,400,000.00",Lincoln Square,1841 Broadway,Room 1112,New York,NY,10023,Manhattan,2125813774,2125813563,www.lincolnbid.org,mblum@lincolnsquarebid.org,"Area generally bounded by  59th Street to the south, 70th Street to the north, Amsterdam Avenue to the west and Central Park West to the east",Lincoln Center,April 1997,"Lincoln Square is a neighborhood  with a rich mixture of culture and ideas.  Home to Lincoln Center for the Performing Arts, ABC and the Time Warner Center, this dynamic westside neighborhood is one of New York's prime destinations for  shopping, dining and entertainment.",84,250
33,"$300,000.00",Sunset Park,5116A 5th Avenue,Suite 200,Brooklyn,NY,11220,Brooklyn,7184397767,7184397794,www.sunsetparkbid.org,renee@sunsetparkbid.org,Fifth Avenue from 38th Street to 64th Street,Sunset Park,July 1995,"Fifth Avenue is the main shopping strip in Sunset Park,  home to over 500 mainly mom and pop businesses that feature restaurants, music centers, clothing/apparel, nail and hair salons, electronics, cell phones, furniture, gift/variety, insurance, real estate, travel, grocery, and other service businesses.  The BID is part of the Sunset Park Historic District, the largest such district in New York City.",52,539
30,"$1,400,000.00",Village Alliance,8 East 8th Street,,New York,NY,10003,Manhattan,2127772173,2125050639,www.villagealliance.org,william.kelley@villagealliance.org,"The Village Alliance is bounded on the west side by 6th Avenue and on the east side by 2nd Avenue with 8th Street/St Marks Place connecting the East and West. The district also includes University Place and part of Broadway, Astor Place and 6th Avenue from West 4th to West 13th Street.",Central Village,1993,"The Village Alliance BID connects the east and west ends of one of the most renowned neighborhoods in the US.  At the sidewalk level, it is a Mecca for tourists who view the Village as a haven for cool, off-beat fashions, nightlife, and culture. One glance upward above the many boutique-type shops, the original residential character and architectural style of a bygone era becomes visible. There are a number of historically significant buildings such as the New York Studio School of Drawing, Painting and Sculpture,  the original home of the Whitney Museum, the Cooper Union for the Advancement of Science and Art where Abraham Lincoln delivered his famous 'right makes might' speech, and The Jefferson Market Library, originally built as a courthouse in 1876, are part of the historic culture of the Village.",63,397
58,"$205,000.00",Bayside Village,213-33 39th Avenue,Suite 310,Bayside,NY,11361,Queens,7184232434,7184231464,www.baysidevillagebid.com,info@baysidevillagebid.com,Bell Boulevard from Northern Boulevard to 35th Avenue; 41st Avenue from 214th Place to 213th Street,Bayside,October 2007,"Bayside Village is a quiet, waterfront community located within the New York City limits in the most Northeastern part of Queens. Bell Boulevard offers a diverse selection of pubs, restaurants, clothing stores and a variety of other retailers. Aside from the thriving downtown along Bell, Bayside offers parks, marinas, fishing, biking and a host of other options for recreation.",19,207
26,"$275,000.00",Woodhaven,84-01 Jamaica Avenue,,Woodhaven,NY,11421,Queens,7188050202,7188052929,www.woodhavenbid.com,gwdcbid@hotmail.com,Jamaica Avenue from 100th Street to Elderts Lane,Woodhaven,July 1993,"The 25 block Woodhaven BID is home to some 350 'Mom & Pop' stores that specialize in small town-like personalized service and is known as a great place for family shopping.  The BID, since its inception, has fostered programs to enhance the retail and commercial development of Jamaica Avenue.",,
32,"$15,900,000.00",Alliance for Downtown New York,120 Broadway,Suite 3340,New York,NY,10271,Manhattan,2125666700,2125666707,www.DowntownNY.com,contactus@downtownNY.com,"Area generally bounded by South Street to the southeast, Murray Street and Fulton Street to the north and West Street to the west",Downtown Manhattan,January 1995,"Downtown has long been the heart of the nations financial industry, and the home of Wall Street. In recent years, however, Downtown has also emerged as an around-the-clock community for working, living and entertaining - an elegant residential neighborhood, neighborhood, a home to world-class retail, restaurants, and cultural institutions, and the home of the River To River Festival offering free music, dance and visual arts events. Come join The Downtown Alliance and see a wonderful place to live, work and play.",450,1062
10,"$220,000.00",Brighton Beach,1002 Brighton Beach Avenue,,Brooklyn,NY,11235,Brooklyn,7189340067,7189340115,www.bidbrightonbeach.com,ymakhnin@aol.com,Brighton Beach Avenue from Ocean Parkway to Brighton 15th Street,Brighton Beach,January 1987,"With visitors from as far away as France, Germany and of course Russia, Brighton Beach Avenue is the center of Russian food, entertainment, and culture in New York City.  Imported European gift items are featured in the colorful shops.   Eclectic night clubs featuring Las Vegas-type entertainment  add to the unique festiveness  of the area.    'Little Odessa,' as the area is fondly called, is a walk-on-the-Boardwalk from the NY Aquarium and the Coney Island amusement park.",15,310
4,"$2,400,000.00",Union Square Partnership,4 Irving Place,Room 751,New York,NY,10003,Manhattan,2124601200,2124208670,www.unionsquarenyc.org,info@unionsquarenyc.org,14th Street from 1st Avenue to 6th Avenue; Union Square Park,Union Square,July 1984,"Union Square is a thriving hub of culture, business, education and health care. Throughout the city and beyond, the district is known as 'New York's Best Tasting Neighborhood,' and is celebrated for the Greenmarket, innovative off-Broadway theaters, destination retailers, small creative businesses and excellent universities and hospitals, all located near one of the city's most popular parks.",32,258
8,"$1,600,000.00",Bryant Park Corporation,1065 Avenue of the Americas,Suite 2400,New York,NY,10018,Manhattan,2127684242,2127193499,www.bryantpark.org,bprc@urbanmgt.com,"Area generally bounded by Fifth Avenue to the east, Sixth Avenue to the west 40th Street to the south and 42nd Street to the north",Midtown,July 1986,"The lawn is lush and green and the flowers change seasonally but Bryant Park is more than a garden. When you first discover it, nestled in its canyon of skyscrapers, its like an oasisa refuge of peace and calm. But Bryant Park is a city park, full of historical monuments and urban amenities. The park is a social place where friends meet, eat lunch, chat, stroll, listen to music, work on the wireless network, or simply sit and think. Winter, Summer, Spring and Fall, New Yorkers love this park.",14,61
28,"$225,000.00",Pitkin Avenue,1572  Pitkin Avenue,,Brooklyn,NY,11212,Brooklyn,7184831459,7183854860,www.pitkinbid.org,execdirector@pitkinbid.org,Pitkin Avenue from Howard Avenue to Mother Gaston Boulevard; Rockaway Avenue from Glenmore Avenue to Belmont Avenue,Brownsville,October 1993,"The Pitkin Avenue BID is comprised of 10 blocks between Howard Avenue and Mother Gaston Blvd extending along Rockaway Blvd between Glenmore and Belmont Avenues.  Though there are mainly mom and pop stores on the Avenue,  there has been an  increase of national chain stores, the latest being Radio Shack & T-Mobile.  Pitkin Avenue is home to almost 30 different businesses including  furniture stores, clothing stores,  ethnic eateries, music outlets, nail and hair salons, electronics, tax & mortgage services, gift/variety stores, and more.",32,180
47,"$507,676.00",Myrtle Avenue Brooklyn Partnership,472 Myrtle Avenue,2nd Floor,Brooklyn,NY,11205,Brooklyn,7182301689,7182303674,www.myrtleavenue.org,info@myrtleavenue.org,Myrtle Avenue from Flatbush Avenue Extension to Classon Avenue,Fort Greene / Clinton Hill,April 2005,"The Myrtle Avenue Brooklyn Partnership oversees the economic revitalization of Myrtle Avenue in Fort Greene and Clinton Hill, Brooklyn.  The Partnership is comprised of two entities, the Myrtle Avenue Revitalization Project Local Development Corporation (MARP) and the Myrtle Avenue Brooklyn Business Improvement District (BID).  MARP and the BID work together to assist small businesses located along the avenue, enhance and promote the avenue as a retail destination, thereby improving the quality of life of the surrounding neighborhoods.  Myrtle Avenue is home to over 150 locally-owned businesses and one of the primary commercial strips in Fort Greene and Clinton Hill, serving such neighboring institutions as Pratt Institute, St. Joseph's College, and the Brooklyn Navy Yard.",40,150
13,"$137,638.00",Graham Avenue,80 Graham Avenue,2A,Brooklyn,NY,11206,Brooklyn,7183876643,7183874955,www.grahamavenuebid.org,grahambid@verizon.net,Graham Avenue from Broadway to Boerum Street; Moore Street from  Graham Avenue to Humboldt Street; Cook Street from Graham Avenue to Manhattan Avenue; Broadway from  Manhattan Avenue to Flushing Avenue,Williamsburg,July 1987,"Graham Avenue is the largest shopping district in Williamsburg, offering more than 180 affordable and diverse retail mom-pop stores and a number of major retail chains. The district provides great shopping and jobs for the community. The BID works closely with the Moore Street Market, a city owned open food market specializing in Latina products as well as other ethnic items.",26,180
46,"$252,000.00",Sutphin Boulevard,89-00 Sutphin Boulevard,Suite 305,Jamaica,NY,11432,Queens,7182912110,7182912109,www.sutphinblvdbid.org,sutphinblvdbid@verizon.net,Sutphin Boulevard from 94th Avenue to Hillside Avenue,Downtown Jamaica,July 2004,"The Sutphin Boulevard Business Improvement District (BID) runs along Sutphin Boulevard from Hillside Avenue to 94th Avenue.  The BID serves as a catalyst for economic revitalization along Sutphin Boulevard and was established to make the area clean and safe.  The BID provides supplemental services as well as promotion for the area, advocacy for the interests of the local businesses, information to boost economic development, and to enhance neighborhood quality of life for local businesses and residents.  Sutphin Boulevard is an important gateway not only to Jamaica, but to all of Queens.  The commercial corridor is home to several prominent public institutions which include the Civil and Supreme Courts for Queens County, the Long Island Rail Road headquarters and rail hub, and most recently, the Air Train Terminal at Jamaica Station, as well as  fifty-two (52) privately owned properties, largely comprised of retail businesses.",12,134
44,"$2,200,000.00",East Midtown Partnership,875 Third Avenue,Mezzanine,New York,NY,10022,Manhattan,2128130030,2128130034,www.eastmidtown.org,info@eastmidtown.org,Madison Avenue from 53rd Street to 57th Street; Park Avenue from 54th Street to 61st Street; Lexington Avenue from 49th Street to 63rd Street; Third Avenue from 49th Street to 63rd Street; Second Avenue from 56th Street to 61st Street and commercial areas on cross streets between these Avenues,East Midtown,January 2002,"East Midtown is home to the Decorative Arts District, one of the world's largest concentrations of home design and decor showrooms, offering consumers and design professionals a wide array of fine furnishings and accessories.  Retail activity in the district is anchored by  flagship department store Bloomingdale's and a number of other prominent retailers and exclusive specialty stores. Home to Bloomberg LP, among other commercial tenants, the East Midtown area has become known as one of the hottest areas for retail activity and commercial development in Manhattan.",132,818
63,"$2,500,000.00",Hudson Square Connection,180 Varick Street,Suite 422,New York,NY,10014,Manhattan,2124639160,2124639165,www.hudsonsquarebid.org,info@hudsonsquarebid.org,"Generally, West Houston Street to the north, Avenue of the Americas to the east, Canal Street to the south, and Greenwich Street to the west",Hudson Square,February 2009,"Building on the neighborhoods rich past as New York Citys printing district, Hudson Square has emerged as a major creative hub, home to over 30,000 people working in advertising, design, media, communications and other cutting edge businesses. Large, open, sunlit spaces in converted printing buildings lend themselves to open floor plans and creative collaborations. On July 1, 2009, the Hudson Square Business Improvement District, doing business as the Hudson Square Connection, opened its doors for business.",75,90
49,"$670,000.00",Fordham Road,"2488 Grand Concourse, Room 413",,Bronx,NY,10458,Bronx,7185622104,7185626225,www.fordhamroadbid.org,walonso@fordhamroadbid.org,Fordham Road from Jerome Avenue to Third Avenue; various adjacent lots,Fordham,December 2004,"Fordham Roads successful mixture of small independent shops and national and regional chain stores has kept it as the largest and most prominent shopping district in the Bronx. The district is also home to Fordham University.  Well-known New York City cultural landmarks, including the Bronx Zoo and the New York Botanical Gardens, are located less than a mile to the east of the district.  The commercial corridor of 300 businesses attracts tens of thousands of shoppers daily to the busiest commercial district in  the Bronx.",35,300
53,"$2,200,000.00",Flatiron/23rd Street Partnership,"27 West 24th Street, Suite 800B",,New York,NY,10010,Manhattan,2127412323,2127412324,www.flatironbid.org,jbrown@flatironbid.org,"Area generally bounded by Sixth Avenue on the west, Lexington Avenue on the east, 28th Street on the north and 21st Street on the south",Flatiron District,January 2006,"The Flatiron District is as diverse as New York City itself.  It includes some of the city's most popular restaurants in all price ranges and cuisines, a dynamic retail environment, superb educational institutions and historic architectural attractions.  A central focus of the area is the historic buildings (Flatiron, Met Life and New York Life) that surround the restored Madison Square Park. The BID contains almost 5,000 businesses and over 600 retail stores. Several national chains and unique shops line the streets of the BID.",103,409
5,"$142,500.00",East Brooklyn,80 Jamaica Avenue,3rd Floor,Brooklyn,NY,11207,Brooklyn,7183856700,7183857505,www.eastbrooklynbid.org,bill@eastbrooklynbid.org,"Area generally bounded by Sutter Avenue to the south, East New York Avenue and Atlantic Avenue to the north, Powell Street to the west and Sheffield Avenue to the east",East New York,July 1985,The East Brooklyn BID is situated within the East Brooklyn Industrial  Park in the East New York section of Brooklyn.  The BID offers companies some of the most affordably priced industrial real estate in the New York metropolitan area. Industry continues to thrive in East New York.  Local companies are key employers to residents in the community.,78,25
23,"$12,638,972.00",Times Square Alliance,1560 Broadway,Suite 800,New York,NY,10036,Manhattan,2127681560,2127681560,www.timessquarenyc.org,info@timessquarealliance.org,"Area generally bounded by Avenue of the Americas to the east, 8th Avenue to the west, 53rd Street to the north and West 41st Street to south",Midtown,January 1992,From Walt Disney to Morgan Stanley and the New York Times to Caroline's; Times Square is truly the Crossroads of the World. Be a part of  the world famous New Years Eve celebration and Broadway On Broadway or just stop by one of our more than 600 stores to pick up a part of New York right in the center of Manhattan.,123,698
25,"$3,207,000.00",Fifth Avenue,65 West 55th Street,Suite 4H,New York,NY,10019,Manhattan,2122466256,2122466259,www.fifthavenuebid.com,tacusick@aol.com,Fifth Avenue from 46th Street to 61st Street; 57th Street from Madison Avenue to Avenue of the Americas,Midtown,July 1993,"Fifth Avenue a brand unto itself is the 'world-renowned' street that maintains a reputation for high quality  establishments. Home to Cartier, Tiffany, Saks, the Pierre, the Plaza, the St. Regis and St Patrick's Cathedral. This world class shopping destination, encompassing Fifth Avenue,  from 46th Street to 61st Street, and the adjacent 57th Street, from Madison Avenue to Avenue of the Americas, is situated at the foot of Central Park.",38,166
60,"$300,000.00",Park Slope 5th Avenue,343 5th Street,c/o Ground Floor Gallery,Brooklyn,NY,11215,Brooklyn,7185515545,,www.parkslopefifthavenuebid.com,info@parkslopefifthavenueBID.com,5th Avenue from 18th Street to Dean Street,Park Slope,June 2008,"The Park Slope Fifth Avenue BID serves approximately 900 businesses including restaurants, furniture stores, clothing shops, hair salons, spas, mom and pop retails and other retail outlets within the boundaries of 5th Avenue from Dean Street to 18th Street.",62,490
41,"$398,800.00",Columbus Avenue,"180 W. 80th St., Suite 210",,New York,NY,10024,Manhattan,2127215048,2127214070,www.columbusavenuebid.org,info@columbusavenuebid.org,Columbus Avenue from 67th Street to 82nd Street; all properties within 50 feet of either side of Columbus Avenue,Upper West Side,January 2000,"The Columbus Avenue Business Improvement District (BID) is a thriving retail community in the heart of New York City's Upper West Side, wholly contained within the Central Park West Historic District. The district includes the American Museum of Natural History, The Rose Center for Earth and Space, and is just steps from the New-York Historical Society.  The fifteen block district runs along Columbus Avenue, dipping into side streets where there is commercial development. Its southern border is at West 67th Street, just a block from Lincoln Center, and the northern boundary is currently on the south side of West 82nd Street.",30,185
57,"$360,000.00",Sunnyside Shines,P.O. Box 4477,45-56 43rd Street,Sunnyside,NY,11104,Queens,7186061800,7182285554,www.sunnysideshines.org,director@sunnysideshines.org,Queens Boulevard from 38th Street to 48th Street; Greenpoint Avenue from 43rd Street to 48th Street; Roosevelt Avenue from 48th Street to 50th Street,Sunnyside,September 2007,"A dynamic community in Northwestern Queens,  the business district is lined with 300  restaurants, small shops and professional offices.  Known as a center for the Irish, the area now attracts Turkish, Asian and Latino residents as well.  Its a major stop on the #7 Line and is a short hop to Manhattan.",36,250
40,"$210,000.00",Montague Street,129 Montague Street,,Brooklyn,NY,11201,Brooklyn,7185223649,7185223652,www.montaguebid.com,info@montaguebid.com,Montague Street from Court Street to Hicks Street,Brooklyn Heights,January 1998,"The Montague Street is the main retail shopping and dining area in historic Brooklyn Heights and home   to an upscale mix of local boutiques, New York-based chains, and national retailers, including Design Within Reach, M·A·C, Banana Republic, Aerosoles, Ann Taylor Loft, Nine West, and Starbucks. An architecturally unique residential area with small town charm, Brooklyn Heights was the first neighborhood in New York City to be designated a Historic District. Over the years, Walt Whitman, Henry Ward Beecher, Henry Miller, Truman Capote, and Norman Mailer have all called the Heights home.",6.25,106
45,"$380,000.00",Downtown Flushing Transit Hub,135-20 39th Avenue,6th Floor,Flushing,NY,11354,Queens,7188881805,7188881248,www.flushingBID.com,flushingbid@gmail.com,Main Street from Northern Boulevard to Sanford Avenue; Roosevelt Avenue from Union Street to Prince Street; 40th Road from Main Street  to Prince Street; 39th Avenue from Main Street to College Point Boulevard; Kissena Boulevard from Main Street to Sanford Avenue,Downtown Flushing,September 2003,"The combination of a rich history, bustling transit hub and vibrant commercial district sets downtown Flushing apart from other neighborhoods and makes our district a destination of choice for anyone. Flushing encompasses one of NYC's strongest concentration of economic activity outside of Manhattan. A regional entertainment and recreational destination and a significant retail node; Flushing is the largest urban center in Queens. The neighborhood is home to immigrants from all over the world but has a strong concentration of East Asians, particularly Chinese and Koreans.",30,500
17,"$507,676.00",Myrtle Avenue (Queens),c/o Ridgewood LDC,62-14 Myrtle Avenue,Glendale,NY,11385,Queens,7183663806,7183817080,www.Ridgewood-NY.com,myrtleBID@gmail.com,Myrtle Avenue from Wyckoff Avenue to Fresh Pond Road and contiguous side streets including triangle parks,Ridgewood,July 1988,"Myrtle Avenue, a major thoroughfare, which crosses Queens and Brooklyn, is the retail commercial center of Greater Ridgewood.  The market area includes the neighborhoods of Ridgewood, Glendale, Middle Village, and Maspeth in Queens and Ridgewood/Bushwick  in Brooklyn and serves approximately 250,000 shoppers. The over 300 retail and service establishments occupy the ground floors of the three-story brick buildings in an area that has been designated as one of the largest Federal and State Historic Districts in the United States. Some areas also have New York City Landmarks designation. Original architectural features representing Romanesque and Renaissance Revival styles abound. Tree lined streets shelter rows of well maintained brick homes and brownstone elements and apartment buildings.",32,342
42,"$290,000.00",86th Street Bay Ridge,9201 Fourth Avenue,7th Floor,Brooklyn,NY,11209,Brooklyn,7186802420,7189214526,www.86bid.org,pcondren@86bid.org,86th Street from Fort Hamilton Parkway to 4th Avenue; 87th Street from 4th Avenue to 5th Avenue; 5th Avenue from 85th Street to 88th Street; 5th Avenue from 85th Street to 87th Street,Bay Ridge,October 2001,"The 86th Street Bay Ridge Business Improvement District operates in the busiest shopping thoroughfare in southern Brooklyn.  Shoppers come from far and wide. The BID is within the prestigious neighborhood of Bay Ridge bounded by Fort Hamilton, Dyker Heights, and Sunset Park.  Anchored by the Century 21 Department Store, the BID has 132 properties containing over 200 businesses with many national and regional chain stores.",16,215
71,"$185,000.00",South Shore,3929 Amboy Road,,Staten Island,NY,10308,Staten Island,7184905023,7185215556,wwww.southshoreBID.org,anthony@southshoreBID.org,Commercial corridor of,"Annadale, Great Kills, Eltingville",2015,,65,380
