"","CT_id_full","med_rent_00","med_rent_10","med_rent_15","hhinc_all_00","hhinc_owners_00","hhinc_renters_00","hhinc_all_10","hhinc_owners_10","hhinc_renters_10","hhinc_all_15","hhinc_owners_15","hhinc_renters_15","pct_inc_rent_00","pct_inc_rent_10","pct_inc_rent_15","total_hh_00","owner_hh_00","renter_hh_00","own_rate_00","owner_1ymoved_00","renter_1ymoved_00","tot_1ymoved_00","sh_1ymoved_00","owner_5ymoved_00","renter_5ymoved_00","tot_5ymoved_00","sh_5ymoved_00","total_hh_10","owner_hh_10","renter_hh_10","own_rate_10","owner_1ymoved_10","renter_1ymoved_10","tot_1ymoved_10","sh_1ymoved_10","owner_5ymoved_10","renter_5ymoved_10","tot_5ymoved_10","sh_5ymoved_10","total_hh_15","owner_hh_15","renter_hh_15","own_rate_15","owner_1ymoved_15","renter_1ymoved_15","tot_1ymoved_15","sh_1ymoved_15","owner_5ymoved_15","renter_5ymoved_15","tot_5ymoved_15","sh_5ymoved_15","shwhite_hh_00","shblack_hh_00","shasian_hh_00","shother_hh_00","shwhite_hh_10","shblack_hh_10","shasian_hh_10","shother_hh_10","shwhite_hh_15","shblack_hh_15","shasian_hh_15","shother_hh_15","ed1_ns_00","ed2_hs_00","ed3_sc_00","ed4_bc_00","ed1_ns_10","ed2_hs_10","ed3_sc_10","ed4_bc_10","ed1_ns_15","ed2_hs_15","ed3_sc_15","ed4_bc_15"
"1","36005000100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00476809709579541,0.863459037711313,0.131772865192891,0,0.0138486717864787,0.861890973183936,0.101221201057535,0.0230391539720509,0.0164897649734647,0.84021986353298,0.130591357088704,0.0126990144048522
"2","36005000200",1000,1383.69565217391,1358,54420.5479452055,69064.3835616438,37227.397260274,65028.2608695652,87677.1739130435,47894.5652173913,72034,104091,42566,25.5,34.1,42,1105,672,433,0.60814479638009,48,114,162,0.146606334841629,185,258,443,0.146606334841629,1297,784,513,0.604471858134156,166,299,465,0.35851966075559,343,422,765,0.35851966075559,1379,696,683,0.504713560551124,0,0,0,0,27,285,312,0,0.352941176470588,0.284162895927602,0,0.36289592760181,0.121048573631457,0.283731688511951,0.0555127216653816,NA,0.411892675852067,0.241479332849891,0.0340826686004351,NA,0.0231568998109641,0.652646502835539,0.241020793950851,0.0831758034026465,0.00441944556046605,0.571715548413017,0.281237444756931,0.142627561269586,0.0340557275541796,0.516464959189417,0.29214748100197,0.157331832254433
"3","36005000400",876.712328767123,1445.65217391304,1448,49026.0273972603,65924.6575342466,30620.5479452055,78226.0869565217,99789.1304347826,53419.5652173913,74836,85293,27500,33.5,29.8,39.2,1074,600,474,0.558659217877095,70,114,184,0.171322160148976,233,334,567,0.171322160148976,1531,939,592,0.613324624428478,206,336,542,0.354016982364468,388,497,885,0.354016982364468,1921,1403,518,0.730348776678813,0,0,0,0,195,183,378,0,0.334264432029795,0.291433891992551,0.0297951582867784,0.344506517690875,0.129327237099935,0.263879817112998,0.0163291966035271,NA,0.352941176470588,0.367516918271733,0.0135346173867777,NA,0.0234131113423517,0.58636836628512,0.271071800208117,0.119146722164412,0.036624203821656,0.415605095541401,0.290764331210191,0.257006369426752,0.00543881334981459,0.398269468479604,0.364400494437577,0.231891223733004
"4","36005000500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","36005001100",660.27397260274,NA,NA,35508.2191780822,76565.7534246575,23845.2054794521,NA,NA,NA,NA,NA,NA,31.5,NA,NA,150,60,90,0.4,0,23,23,0.153333333333333,5,54,59,0.153333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.586666666666667,0.206666666666667,0,0.206666666666667,NA,NA,NA,NA,NA,NA,NA,NA,0.0894117647058824,0.649411764705882,0.228235294117647,0.0329411764705882,NA,NA,NA,NA,NA,NA,NA,NA
"6","36005001500",993.150684931507,NA,NA,35958.904109589,NA,35958.904109589,NA,NA,NA,NA,NA,NA,32.5,NA,NA,10,0,10,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"7","36005001600",764.383561643836,894.565217391304,950,34013.698630137,60445.2054794521,29389.0410958904,32994.5652173913,70380.4347826087,30304.347826087,32312,56563,27653,27,33.3,31.3,1796,279,1517,0.155345211581292,16,255,271,0.150890868596882,49,577,626,0.150890868596882,1983,419,1564,0.211296016137166,74,450,524,0.264246091780131,157,723,880,0.264246091780131,1964,346,1618,0.176171079429735,0,0,0,0,33,410,443,0,0.377505567928731,0.312360801781737,0.0139198218262806,0.296213808463252,0.163893091275845,0.369137670196672,NA,NA,0.402749490835031,0.373727087576375,NA,NA,0.018688628444726,0.59708584098828,0.27304402914159,0.111181501425404,0.0207541654486992,0.589593686056709,0.256942414498685,0.132709733995908,0.0410772578890098,0.573721436343852,0.252176278563656,0.133025027203482
"8","36005001700",606.849315068493,NA,NA,29361.6438356164,39383.5616438356,27598.6301369863,NA,NA,NA,NA,NA,NA,37.2,NA,NA,271,35,236,0.129151291512915,0,41,41,0.151291512915129,15,134,149,0.151291512915129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.173431734317343,0.317343173431734,0,0.509225092250922,NA,NA,NA,NA,NA,NA,NA,NA,0.0842911877394636,0.630268199233716,0.241379310344828,0.0440613026819923,NA,NA,NA,NA,NA,NA,NA,NA
"9","36005002000",364.383561643836,494.565217391304,664,19973.9726027397,46543.8356164384,16638.3561643836,27107.6086956522,83936.9565217391,25043.4782608696,NA,NA,NA,27.4,27,37.6,3070,469,2601,0.152768729641694,28,240,268,0.0872964169381107,51,951,1002,0.0872964169381107,3029,374,2655,0.123473093430175,117,753,870,0.287223506107626,152,1150,1302,0.287223506107626,2953,476,2477,0.161192008127328,0,0,0,0,45,641,686,0,0.2,0.523127035830619,0,0.276872964169381,0.114889402443051,0.41564872895345,0.00363156157147573,NA,0.316627158821537,0.425668811378259,0.0270910938029123,NA,0.0445443400081733,0.687167960768288,0.206579485083776,0.061708214139763,0.0225253151477578,0.679065922711304,0.167389956602604,0.131018805538334,0.0184731385485391,0.66559849198869,0.221489161168709,0.0944392082940622
"10","36005002300",313.698630136986,390.217391304348,405,17657.5342465753,NA,17879.4520547945,14952.1739130435,NA,14907.6086956522,14479,NA,14479,23.3,30.6,31.2,1656,10,1646,0.00603864734299517,10,75,85,0.0513285024154589,10,454,464,0.0513285024154589,1968,7,1961,0.00355691056910569,0,429,429,0.217987804878049,0,967,967,0.217987804878049,1937,18,1919,0.00929272070211667,0,0,0,0,0,420,420,0,0.239734299516908,0.384057971014493,0.00845410628019324,0.367753623188406,0.423780487804878,0.372459349593496,NA,NA,0.204439855446567,0.345379452762003,NA,NA,0.0847736625514403,0.668724279835391,0.183950617283951,0.0625514403292181,0.0558139534883721,0.717607973421927,0.178405315614618,0.0481727574750831,0.0345588235294118,0.733823529411765,0.187867647058824,0.04375
